Campaign Name,Vertical,GEO,State Or City,OS,Payable Event,MMP Tracker,ADV ID,ADV Payout $,PUB AM,PubID,PID,DA,PUB Payout $,Shared Date,Paused Date,FP,FA (Step 1),pub_Apno,ADV Total Numbers,ADV Deductions,ADV Approved Numbers,ADV Payout Total ($),User id
XM Trading & Investment,Finance & Insurance,ZA,NA,Android,affiliate_server_client_first_deposit,AppsFlyer,5518,8,Tarun,2037,ygshjs5_int,Direct,5.6,2026-01-01,,,,3,3,0,3,0,40
XM Trading & Investment,Finance & Insurance,MX,NA,Android,affiliate_server_client_first_deposit,AppsFlyer,5518,8,Tarun,2037,ygshjs5_int,Direct,5.6,2026-01-01,,,,1,1,0,1,0,40
XM Trading & Investment,Finance & Insurance,ZA,NA,Android,affiliate_server_client_first_deposit,AppsFlyer,5518,8,Tarun,2037,fenglud3p_int,Direct,5.6,2026-01-01,,,,3,4,1,3,0,40
XM Trading & Investment,Finance & Insurance,MA,NA,Android,affiliate_server_client_first_deposit,AppsFlyer,5518,35,Tarun,2037,fenglud3p_int,Direct,24.5,2026-01-01,,,,1,1,0,1,0,40
XM Trading & Investment,Finance & Insurance,EC,NA,Android,affiliate_server_client_first_deposit,AppsFlyer,5518,40,Tarun,2037,xxdlasf_int,Direct,28,2026-01-01,,,,1,2,1,1,0,40
